subsystem,versions,an_type,cm_type,proportion
frameworks_opt_bluetooth,A6.0.0_A7.0.0_CM13.0,identical,argument,0.0
frameworks_opt_bluetooth,A6.0.0_A7.0.0_CM13.0,identical,body,0.2972972972972973
frameworks_opt_bluetooth,A6.0.0_A7.0.0_CM13.0,identical,deleted,0.3783783783783784
frameworks_opt_bluetooth,A6.0.0_A7.0.0_CM13.0,refactored,refactored,0.0
frameworks_opt_bluetooth,A6.0.0_A7.0.0_CM13.0,refactored,argument,0.0
frameworks_opt_bluetooth,A6.0.0_A7.0.0_CM13.0,refactored,body,0.0
frameworks_opt_bluetooth,A6.0.0_A7.0.0_CM13.0,refactored,deleted,0.0
frameworks_opt_bluetooth,A6.0.0_A7.0.0_CM13.0,argument,refactored,0.0
frameworks_opt_bluetooth,A6.0.0_A7.0.0_CM13.0,argument,argument,0.0
frameworks_opt_bluetooth,A6.0.0_A7.0.0_CM13.0,argument,body,0.0
frameworks_opt_bluetooth,A6.0.0_A7.0.0_CM13.0,argument,deleted,0.0
frameworks_opt_bluetooth,A6.0.0_A7.0.0_CM13.0,body,refactored,0.0
frameworks_opt_bluetooth,A6.0.0_A7.0.0_CM13.0,body,argument,0.0
frameworks_opt_bluetooth,A6.0.0_A7.0.0_CM13.0,body,body,0.05405405405405406
frameworks_opt_bluetooth,A6.0.0_A7.0.0_CM13.0,body,deleted,0.0
frameworks_opt_bluetooth,A6.0.0_A7.0.0_CM13.0,deleted,refactored,0.0
frameworks_opt_bluetooth,A6.0.0_A7.0.0_CM13.0,deleted,argument,0.0
frameworks_opt_bluetooth,A6.0.0_A7.0.0_CM13.0,deleted,body,0.24324324324324326
frameworks_opt_bluetooth,A6.0.0_A7.0.0_CM13.0,deleted,deleted,0.0
frameworks_opt_chips,A5.0.0_A5.1.0_CM12.0,identical,refactored,0.0
frameworks_opt_chips,A5.0.0_A5.1.0_CM12.0,identical,argument,0.0
frameworks_opt_chips,A5.0.0_A5.1.0_CM12.0,identical,body,1.0
frameworks_opt_chips,A5.0.0_A5.1.0_CM12.0,identical,deleted,0.0
frameworks_opt_chips,A5.0.0_A5.1.0_CM12.0,refactored,refactored,0.0
frameworks_opt_chips,A5.0.0_A5.1.0_CM12.0,refactored,argument,0.0
frameworks_opt_chips,A5.0.0_A5.1.0_CM12.0,refactored,body,0.0
frameworks_opt_chips,A5.0.0_A5.1.0_CM12.0,refactored,deleted,0.0
frameworks_opt_chips,A5.0.0_A5.1.0_CM12.0,argument,refactored,0.0
frameworks_opt_chips,A5.0.0_A5.1.0_CM12.0,argument,argument,0.0
frameworks_opt_chips,A5.0.0_A5.1.0_CM12.0,argument,body,0.0
frameworks_opt_chips,A5.0.0_A5.1.0_CM12.0,argument,deleted,0.0
frameworks_opt_chips,A5.0.0_A5.1.0_CM12.0,body,refactored,0.0
frameworks_opt_chips,A5.0.0_A5.1.0_CM12.0,body,argument,0.0
frameworks_opt_chips,A5.0.0_A5.1.0_CM12.0,body,body,0.0
frameworks_opt_chips,A5.0.0_A5.1.0_CM12.0,body,deleted,0.0
frameworks_opt_chips,A5.0.0_A5.1.0_CM12.0,deleted,refactored,0.0
