versions:android-7.0.0_r1,android-7.1.0_r1,cm-14.0
packages_apps_Dialer,https://android.googlesource.com/platform/packages/apps/Dialer,https://review.lineageos.org/LineageOS/android_packages_apps_Dialer
packages_apps_Email,https://android.googlesource.com/platform/packages/apps/Email,https://review.lineageos.org/LineageOS/android_packages_apps_Email
packages_apps_EmergencyInfo,https://android.googlesource.com/platform/packages/apps/EmergencyInfo,https://review.lineageos.org/LineageOS/android_packages_apps_EmergencyInfo
packages_apps_ExactCalculator,https://android.googlesource.com/platform/packages/apps/ExactCalculator,https://review.lineageos.org/LineageOS/android_packages_apps_ExactCalculator
packages_apps_Gallery2,https://android.googlesource.com/platform/packages/apps/Gallery2,https://review.lineageos.org/LineageOS/android_packages_apps_Gallery2
packages_apps_HTMLViewer,https://android.googlesource.com/platform/packages/apps/HTMLViewer,https://review.lineageos.org/LineageOS/android_packages_apps_HTMLViewer
packages_apps_KeyChain,https://android.googlesource.com/platform/packages/apps/KeyChain,https://review.lineageos.org/LineageOS/android_packages_apps_KeyChain
packages_apps_Launcher3,https://android.googlesource.com/platform/packages/apps/Launcher3,https://review.lineageos.org/LineageOS/android_packages_apps_Launcher3
packages_apps_ManagedProvisioning,https://android.googlesource.com/platform/packages/apps/ManagedProvisioning,https://review.lineageos.org/LineageOS/android_packages_apps_ManagedProvisioning
packages_apps_Messaging,https://android.googlesource.com/platform/packages/apps/Messaging,https://review.lineageos.org/LineageOS/android_packages_apps_Messaging
packages_apps_Nfc,https://android.googlesource.com/platform/packages/apps/Nfc,https://review.lineageos.org/LineageOS/android_packages_apps_Nfc
packages_apps_PackageInstaller,https://android.googlesource.com/platform/packages/apps/PackageInstaller,https://review.lineageos.org/LineageOS/android_packages_apps_PackageInstaller
packages_apps_PhoneCommon,https://android.googlesource.com/platform/packages/apps/PhoneCommon,https://review.lineageos.org/LineageOS/android_packages_apps_PhoneCommon
packages_apps_Settings,https://android.googlesource.com/platform/packages/apps/Settings,https://review.lineageos.org/LineageOS/android_packages_apps_Settings
packages_apps_SoundRecorder,https://android.googlesource.com/platform/packages/apps/SoundRecorder,https://review.lineageos.org/LineageOS/android_packages_apps_SoundRecorder
packages_apps_Stk,https://android.googlesource.com/platform/packages/apps/Stk,https://review.lineageos.org/LineageOS/android_packages_apps_Stk
packages_apps_Tag,https://android.googlesource.com/platform/packages/apps/Tag,https://review.lineageos.org/LineageOS/android_packages_apps_Tag
packages_apps_Terminal,https://android.googlesource.com/platform/packages/apps/Terminal,https://review.lineageos.org/LineageOS/android_packages_apps_Terminal
