versions:android-4.2_r1,android-4.3_r1,cm-10.1
external_lohit-fonts,https://android.googlesource.com/platform/external/lohit-fonts,https://review.lineageos.org/LineageOS/android_external_lohit-fonts
external_markdown,https://android.googlesource.com/platform/external/markdown,https://review.lineageos.org/LineageOS/android_external_markdown
external_mdnsresponder,https://android.googlesource.com/platform/external/mdnsresponder,https://review.lineageos.org/LineageOS/android_external_mdnsresponder
external_mesa3d,https://android.googlesource.com/platform/external/mesa3d,https://review.lineageos.org/LineageOS/android_external_mesa3d
external_mksh,https://android.googlesource.com/platform/external/mksh,https://review.lineageos.org/LineageOS/android_external_mksh
external_mockwebserver,https://android.googlesource.com/platform/external/mockwebserver,https://review.lineageos.org/LineageOS/android_external_mockwebserver
external_mp4parser,https://android.googlesource.com/platform/external/mp4parser,https://review.lineageos.org/LineageOS/android_external_mp4parser
external_mtpd,https://android.googlesource.com/platform/external/mtpd,https://review.lineageos.org/LineageOS/android_external_mtpd
external_naver-fonts,https://android.googlesource.com/platform/external/naver-fonts,https://review.lineageos.org/LineageOS/android_external_naver-fonts
external_netcat,https://android.googlesource.com/platform/external/netcat,https://review.lineageos.org/LineageOS/android_external_netcat
external_netperf,https://android.googlesource.com/platform/external/netperf,https://review.lineageos.org/LineageOS/android_external_netperf
external_neven,https://android.googlesource.com/platform/external/neven,https://review.lineageos.org/LineageOS/android_external_neven
external_nist-sip,https://android.googlesource.com/platform/external/nist-sip,https://review.lineageos.org/LineageOS/android_external_nist-sip
external_oauth,https://android.googlesource.com/platform/external/oauth,https://review.lineageos.org/LineageOS/android_external_oauth
external_okhttp,https://android.googlesource.com/platform/external/okhttp,https://review.lineageos.org/LineageOS/android_external_okhttp
external_opencv,https://android.googlesource.com/platform/external/opencv,https://review.lineageos.org/LineageOS/android_external_opencv
external_openfst,https://android.googlesource.com/platform/external/openfst,https://review.lineageos.org/LineageOS/android_external_openfst
external_openssh,https://android.googlesource.com/platform/external/openssh,https://review.lineageos.org/LineageOS/android_external_openssh
external_openssl,https://android.googlesource.com/platform/external/openssl,https://review.lineageos.org/LineageOS/android_external_openssl
external_oprofile,https://android.googlesource.com/platform/external/oprofile,https://review.lineageos.org/LineageOS/android_external_oprofile
external_ping,https://android.googlesource.com/platform/external/ping,https://review.lineageos.org/LineageOS/android_external_ping
external_ping6,https://android.googlesource.com/platform/external/ping6,https://review.lineageos.org/LineageOS/android_external_ping6
external_ppp,https://android.googlesource.com/platform/external/ppp,https://review.lineageos.org/LineageOS/android_external_ppp
external_proguard,https://android.googlesource.com/platform/external/proguard,https://review.lineageos.org/LineageOS/android_external_proguard
external_protobuf,https://android.googlesource.com/platform/external/protobuf,https://review.lineageos.org/LineageOS/android_external_protobuf
external_qemu,https://android.googlesource.com/platform/external/qemu,https://review.lineageos.org/LineageOS/android_external_qemu
external_qemu-pc-bios,https://android.googlesource.com/platform/external/qemu-pc-bios,https://review.lineageos.org/LineageOS/android_external_qemu-pc-bios
external_quake,https://android.googlesource.com/platform/external/quake,https://review.lineageos.org/LineageOS/android_external_quake
external_regex-re2,https://android.googlesource.com/platform/external/regex-re2,https://review.lineageos.org/LineageOS/android_external_regex-re2
external_replicaisland,https://android.googlesource.com/platform/external/replicaisland,https://review.lineageos.org/LineageOS/android_external_replicaisland
external_safe-iop,https://android.googlesource.com/platform/external/safe-iop,https://review.lineageos.org/LineageOS/android_external_safe-iop
external_sepolicy,https://android.googlesource.com/platform/external/sepolicy,https://review.lineageos.org/LineageOS/android_external_sepolicy
external_skia,https://android.googlesource.com/platform/external/skia,https://review.lineageos.org/LineageOS/android_external_skia
external_smali,https://android.googlesource.com/platform/external/smali,https://review.lineageos.org/LineageOS/android_external_smali
external_sonivox,https://android.googlesource.com/platform/external/sonivox,https://review.lineageos.org/LineageOS/android_external_sonivox
external_speex,https://android.googlesource.com/platform/external/speex,https://review.lineageos.org/LineageOS/android_external_speex
external_sqlite,https://android.googlesource.com/platform/external/sqlite,https://review.lineageos.org/LineageOS/android_external_sqlite
external_srec,https://android.googlesource.com/platform/external/srec,https://review.lineageos.org/LineageOS/android_external_srec
external_srtp,https://android.googlesource.com/platform/external/srtp,https://review.lineageos.org/LineageOS/android_external_srtp
external_stlport,https://android.googlesource.com/platform/external/stlport,https://review.lineageos.org/LineageOS/android_external_stlport
external_strace,https://android.googlesource.com/platform/external/strace,https://review.lineageos.org/LineageOS/android_external_strace
external_stressapptest,https://android.googlesource.com/platform/external/stressapptest,https://review.lineageos.org/LineageOS/android_external_stressapptest
external_tagsoup,https://android.googlesource.com/platform/external/tagsoup,https://review.lineageos.org/LineageOS/android_external_tagsoup
external_tcpdump,https://android.googlesource.com/platform/external/tcpdump,https://review.lineageos.org/LineageOS/android_external_tcpdump
